Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Memory,72,LLMFlash,int4,32GB_Host+64GB_CXL,128,103.8854,0.3,0.0,99.9659,0.0341,0.0,0.000392,0.0318,0.0,0.0,0.0318,0.0319,0.03183125,0.0,0.0
Memory,72,CXLAimPod,int4,32GB_Host+64GB_CXL,128,100.555987,4.527,0.0,99.9945,0.0055,0.0,0.000429,0.0337,0.0,0.0,0.0336,0.0338,0.033681249999999996,0.0,0.0
Memory,72,SemSched,int4,32GB_Host+64GB_CXL,128,100.696307,4.67,0.0,99.9998,0.0002,0.0337,0.000429,0.0337,1280.0,0.0,0.033649,0.033812,0.03373025,0.0,0.0
BatchSweep,72,FlexGen,fp32,16H+32C,1,0.016546,8.473,0.0,99.9998,0.0002,0.0,3.3e-05,0.0001,80.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,LIA,fp32,16H+32C,1,0.017674,9.049,0.0,99.9998,0.0002,0.0,3.3e-05,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,LLMFlash,fp32,16H+32C,1,0.0604,0.0,0.0,99.9996,0.0004,0.0,2.2e-05,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,CXLAimPod,fp32,16H+32C,1,0.018667,9.558,0.0,100.0,0.0,0.0,6.5e-05,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,SemSched,fp32,16H+32C,1,0.043116,10.13,0.0,99.9998,0.0002,0.0007,8e-06,0.0001,160.0,0.0,8.7e-05,8.7e-05,8.7e-05,0.0,0.0
BatchSweep,72,FlexGen,fp32,16H+32C,4,0.066155,8.473,0.0,99.9998,0.0002,0.0,8.4e-05,0.0001,80.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,LIA,fp32,16H+32C,4,0.070695,9.049,0.0,99.9998,0.0002,0.0,8.4e-05,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0
BatchSweep,72,LLMFlash,fp32,16H+32C,4,0.1412,0.0,0.0,99.999,0.001,0.0,9e-05,0.0003,0.0,0.0,0.0003,0.0003,0.0003,0.0,0.0
BatchSweep,72,CXLAimPod,fp32,16H+32C,4,0.074662,9.558,0.0,99.9998,0.0002,0.0,0.000137,0.0003,0.0,0.0,0.0003,0.0003,0.0003,0.0,0.0
